title,rate,num,info,director,actor,time,country,type
窃听风暴,9.2,513186人,别样人生。,弗洛里安·亨克尔·冯·多纳斯马尔克FlorianHenckelvonDonnersmarck  &amp;n...<br,演职人员不详,2006,德国,剧情
情书,8.9,980033人,暗恋的极致。,岩井俊二ShunjiIwai,中山美穗MihoNakayama,1995,日本,剧情
穿条纹睡衣的男孩,9.2,496009人,尽管有些不切实际的幻想，这部电影依旧是一部感人肺腑的佳作。,马克·赫尔曼MarkHerman,阿萨·巴特菲尔德AsaButterfield,2008,英国,剧情
两杆大烟枪,9.1,547559人,4个臭皮匠顶个诸葛亮，盖·里奇果然不是盖的。,GuyRitchie,JasonFlemyng,1998,英国,剧情
西西里的美丽传说,8.9,889849人,美丽无罪。,朱塞佩·托纳多雷GiuseppeTornatore,莫妮卡·贝鲁奇Monica,2000,意大利,剧情
看不见的客人,8.8,1134553人,你以为你以为的就是你以为的。,奥里奥尔·保罗OriolPaulo,马里奥·卡萨斯MarioCasas,2016,西班牙,剧情
拯救大兵瑞恩,9.1,590157人,美利坚精神输出大片No1.,史蒂文·斯皮尔伯格StevenSpielberg,汤姆·汉克斯TomHanks,1998,美国,剧情
音乐之声,9.1,545911人,用音乐化解仇恨，让歌声串起美好。,罗伯特·怀斯RobertWise,朱莉·安德鲁斯JulieAndrews,1965,美国,剧情
飞越疯人院,9.1,508547人,自由万岁。,米洛斯·福尔曼MilošForman,杰克·尼科尔森JackNichols,1975,美国,剧情
小鞋子,9.2,371415人,奔跑的孩子是天使。,马基德·马基迪MajidMajidi,默罕默德·阿米尔·纳吉Mohamma,1997,伊朗,剧情
阿凡达,8.8,1265369人,绝对意义上的美轮美奂。,詹姆斯·卡梅隆JamesCameron,萨姆·沃辛顿SamWorthington,2009,美国,动作
哈利·波特与死亡圣器(下),8.9,739816人,10年的完美句点。,大卫·叶茨DavidYates,丹尼尔·雷德克里夫DanielRadcliffe,2011,美国,奇幻
沉默的羔羊,8.9,797037人,安东尼·霍普金斯的顶级表演。,乔纳森·戴米JonathanDemme,朱迪·福斯特JodieFoster,1991,美国,剧情
海豚湾,9.3,335781人,海豚的微笑，是世界上最高明的伪装。,路易·西霍尤斯LouiePsihoyos,RichardO'Barry,2009,美国,纪录片
致命魔术,8.9,781931人,孪生蝙蝠侠大战克隆金刚狼。,克里斯托弗·诺兰ChristopherNolan,休·杰克曼HughJackman,2006,英国,剧情
禁闭岛,8.8,877252人,昔日翩翩少年，今日大腹便便。,MartinScorsese,莱昂纳多·迪卡普里奥LeonardoDiCaprio,2010,美国,剧情
布达佩斯大饭店,8.9,831138人,小清新的故事里注入了大历史的情怀。,韦斯·安德森WesAnderson,拉尔夫·费因斯RalphFiennes,2014,美国,剧情
蝴蝶效应,8.8,852023人,人的命运被自己瞬间的抉择改变。,埃里克·布雷斯EricBress,演职人员不详,2004,美国,剧情
美国往事,9.2,376297人,往事如烟，无处祭奠。,赛尔乔·莱翁内SergioLeone,罗伯特·德尼罗RobertDeNiro,1984,美国,犯罪
心灵捕手,8.9,643955人,人生中应该拥有这样的一段豁然开朗。,格斯·范·桑特GusVanSant,马特·达蒙MattDamon,1997,美国,剧情
低俗小说,8.9,756992人,故事的高级讲法。,昆汀·塔伦蒂诺QuentinTarantino,约翰·特拉沃尔塔JohnTra,1994,美国,剧情
春光乍泄,9.0,571765人,爱情纠缠，男女一致。,王家卫KarWaiWong,张国荣LeslieCheung,1997,中国香港,剧情
摩登时代,9.3,269453人,大时代中的人生，小人物的悲喜。,查理·卓别林CharlesChaplin,查理·卓别林CharlesChaplin,1936,美国,剧情
七宗罪,8.8,870905人,警察抓小偷，老鼠玩死猫。,大卫·芬奇DavidFincher,摩根·弗里曼MorganFreeman,1995,美国,剧情
喜剧之王,8.8,876992人,我是一个演员。,周星驰StephenChow,周星驰StephenCh,1999,中国香港,喜剧
致命ID,8.8,739223人,最不可能的那个人永远是最可能的。,詹姆斯·曼高德JamesMangold,约翰·库萨克JohnCusack,2003,美国,剧情
杀人回忆,8.9,631062人,关于连环杀人悬案的集体回忆。,奉俊昊Joon-hoBong,宋康昊Kang-hoSong,2003,韩国,剧情
功夫,8.7,979375人,警恶惩奸，维护世界和平这个任务就交给你了，好吗？,周星驰StephenChow,周星驰StephenChow,2004,中国大陆,动作
哈利·波特与阿兹卡班的囚徒,8.9,628166人,不一样的导演，不一样的哈利·波特。,AlfonsoCuarón,丹尼尔·雷德克里夫DanielRadcliffe,2004,英国,奇幻
超脱,9.0,500292人,穷尽一生，我们要学会的，不过是彼此拥抱。,托尼·凯耶TonyKaye,艾德里安·布洛迪AdrienBrody,2011,美国,剧情
加勒比海盗,8.8,784058人,约翰尼·德普的独角戏。,戈尔·维宾斯基GoreVerbinski,约翰尼·德普JohnnyDepp,2003,美国,动作
被嫌弃的松子的一生,8.9,652797人,以戏谑来戏谑戏谑。,中岛哲也TetsuyaNakashima,中谷美纪MikiNakatani,2006,日本,剧情
红辣椒,9.0,402292人,梦的勾结。,今敏SatoshiKon,林原惠美MegumiHayashibara,2006,日本,动画
狩猎,9.1,346557人,人言可畏。,托马斯·温特伯格ThomasVinterberg,麦斯·米科尔森MadsMik,2012,丹麦,剧情
请以你的名字呼唤我,8.9,644885人,沉醉在电影的情感和视听氛围中无法自拔。,卢卡·瓜达尼诺LucaGuadagnino,艾米·汉莫ArmieHamme,2017,意大利,剧情
7号房的礼物,8.9,501498人,《我是山姆》的《美丽人生》。,李焕庆Hwan-kyeongLee,柳承龙Seung-yongRyoo,2013,韩国,剧情
剪刀手爱德华,8.7,967635人,浪漫忧郁的成人童话。,蒂姆·波顿TimBurton,约翰尼·德普JohnnyDepp,1990,美国,剧情
勇敢的心,8.9,525674人,史诗大片的典范。,梅尔·吉布森MelGibson,梅尔·吉布森MelGibson,1995,美国,动作
断背山,8.8,653797人,每个人心中都有一座断背山。,李安AngLee,希斯·莱杰HeathLedger,2005,美国,剧情
唐伯虎点秋香,8.7,970636人,华太师是黄霑，吴镇宇四大才子之一。,李力持Lik-ChiLee,周星驰StephenChow,1993,中国香港,喜剧
入殓师,8.9,603747人,死可能是一道门，逝去并不是终结，而是超越，走向下一程。,泷田洋二郎YôjirôTakita,本木雅弘MasahiroMotoki,2008,日本,剧情
第六感,8.9,504817人,深入内心的恐怖，出人意料的结局。,M·奈特·沙马兰M.NightShyamalan,布鲁斯·威利斯BruceWi,1999,美国,剧情
天使爱美丽,8.7,905605人,法式小清新。 ,让-皮埃尔·热内Jean-PierreJeunet,奥黛丽·塔图AudreyTau,2001,法国,剧情
哈利·波特与密室,8.8,654331人,魔法的密室之门已打开...,ChrisColumbus,丹尼尔·雷德克里夫DanielRadcliffe,2002,英国,奇幻
重庆森林,8.8,728811人,寂寞没有期限。,王家卫KarWaiWong,林青霞BrigitteLin,1994,中国香港,剧情
爱在黎明破晓前,8.8,599504人,缘分是个连绵词，最美不过一瞬。,理查德·林克莱特RichardLinklater,伊桑·霍克EthanHawke,1995,美国,剧情
一一,9.1,334839人,我们都曾经是一一。,杨德昌EdwardYang,吴念真,2000,中国台湾,剧情
幽灵公主,8.9,479662人,人与自然的战争史诗。,宫崎骏HayaoMiyazaki,松田洋治YôjiMatsuda,1997,日本,动画
蝙蝠侠：黑暗骑士崛起,8.8,656457人,诺兰就是保证。,克里斯托弗·诺兰ChristopherNolan,克里斯蒂安·贝尔Christ,2012,美国,剧情
小森林 夏秋篇,9.0,387935人,那些静得只能听见呼吸的日子里，你明白孤独即生活。,森淳一JunichiMori,桥本爱AiHashimoto,2014,日本,剧情
阳光灿烂的日子,8.8,561064人,一场华丽的意淫。,姜文WenJiang,夏雨YuXia,1994,中国大陆,剧情
菊次郎的夏天,8.9,535650人,从没见过那么流氓的温柔，从没见过那么温柔的流氓。,北野武TakeshiKitano,北野武TakeshiKitano,1999,日本,剧情
超能陆战队,8.7,919236人,Balalala~~~,唐·霍尔DonHall,斯科特,2014,美国,喜剧
完美的世界,9.1,278061人,坏人的好总是比好人的好来得更感人。,克林特·伊斯特伍德ClintEastwood,凯文·科斯特纳KevinCos,1993,美国,剧情
无人知晓,9.1,283048人,我的平常生活就是他人的幸福。,是枝裕和HirokazuKoreeda,柳乐优弥YûyaYagira,2004,日本,剧情
消失的爱人,8.7,840024人,年度最佳date movie。,大卫·芬奇DavidFincher,本·阿弗莱克BenAffleck,2014,美国,剧情
爱在日落黄昏时,8.9,494114人,九年后的重逢是世俗和责任的交叠，没了悸动和青涩，沧桑而温暖。,理查德·林克莱特RichardLinklater,伊桑·霍克EthanHawke,2004,美国,剧情
小森林 冬春篇,9.0,347055人,尊敬他人，尊敬你生活的这片土地，明白孤独是人生的常态。,森淳一JunichiMori,桥本爱AiHashimoto,2015,日本,剧情
借东西的小人阿莉埃蒂,8.9,498356人,曾经的那段美好会沉淀为一辈子的记忆。,米林宏昌HiromasaYonebayashi,志田未来MiraiShida,2010,日本,动画
倩女幽魂,8.8,668515人,两张绝世的脸。 ,程小东Siu-TungChing,张国荣LeslieCheung,1987,中国香港,爱情
甜蜜蜜,8.9,475709人,相逢只要一瞬间，等待却像是一辈子。,陈可辛PeterChan,黎明LeonLai,1996,中国香港,剧情
侧耳倾听,8.9,418391人,少女情怀总是诗。,近藤喜文YoshifumiKondo,本名阳子YoukoHonna,1995,日本,剧情
幸福终点站,8.8,511041人,有时候幸福需要等一等。 ,史蒂文·斯皮尔伯格StevenSpielberg,汤姆·汉克斯TomHanks,2004,美国,喜剧
时空恋旅人,8.8,584715人,把每天当作最后一天般珍惜度过，积极拥抱生活，就是幸福。,理查德·柯蒂斯RichardCurtis,多姆纳尔·格里森DomhnallGl,2013,英国,喜剧
驯龙高手,8.7,690708人,和谐的生活离不开摸头与被摸头。,迪恩·德布洛斯DeanDeBlois,演职人员不详,2010,美国,动画
萤火之森,8.9,478204人,触不到的恋人。,大森贵弘TakahiroOmori,佐仓绫音AyaneSakura,2011,日本,剧情
玛丽和马克思,8.9,395739人,你是我最好的朋友，你是我唯一的朋友 。,亚当·艾略特AdamElliot,托妮·科莱特ToniCollette,2009,澳大利亚,剧情
怪兽电力公司,8.8,602669人,不要给它起名字，起了名字就有感情了。,彼特·道格特PeteDocter,约,2001,美国,儿童
教父3,9.0,331813人,任何信念的力量，都无法改变命运。,弗朗西斯·福特·科波拉FrancisFordCoppola,阿尔·帕西诺A,1990,美国,剧情
一个叫欧维的男人决定去死,8.9,409973人,惠及一生的美丽。,汉内斯·赫尔姆HannesHolm,罗夫·拉斯加德RolfLassgård,2015,瑞典,剧情
大鱼,8.8,523221人,抱着梦想而活着的人是幸福的，怀抱梦想而死去的人是不朽的。,蒂姆·波顿TimBurton,伊万·麦克格雷格EwanMcGregor,2003,美国,剧情
告白,8.8,624582人,没有一人完全善，也没有一人完全恶。,中岛哲也TetsuyaNakashima,松隆子TakakoMatsu,2010,日本,剧情
玩具总动员3,8.9,463353人,跨度十五年的欢乐与泪水。,李·昂克里奇LeeUnkrich,汤姆·汉克斯TomHanks,2010,美国,喜剧
傲慢与偏见,8.7,718013人,爱是摈弃傲慢与偏见之后的曙光。,乔·怀特JoeWright,凯拉·奈特莉KeiraKnightley,2005,法国,剧情
神偷奶爸,8.6,870236人,Mr. I Don't Care其实也有Care的时候。,皮艾尔·柯芬PierreCoffin,演职人员不详,2010,美国,喜剧
寄生虫,8.8,1247507人,电影详细信息不详,奉俊昊Joon-hoBong,宋康昊Kang-hoSong,2019,韩国,剧情
釜山行,8.6,1085448人,揭露人性的丧尸题材力作。,延尚昊Sang-hoYeon,孔侑YooGong,2016,韩国,动作
